,Faculty Member,Ph.D.,Masters,Bachelors
0,"                  Açikmeşe, Behçet",Aerospace Engineering,Mechanical Engineering,
1,"                  Adler, Stuart",University of California,University of California,University of Michigan
2,"                  del Alamo, Juan Carlos",Not available,Not available,Not available
3,"                  Aliseda, Alberto",University of California,"University of California,  School of Aeronautics (ETSIA) Universidad Politecnica de Madrid",
4,"                  Allbritton, Nancy",University of California,"University of California,  School of Aeronautics (ETSIA) Universidad Politecnica de Madrid",
5,"                  Anantram, M.",Not available,Not available,Not available
6,"                  Anderson, Richard",Not available,Not available,Not available
7,"                  Anderson, Tom",Not available,Not available,Not available
8,"                  Anderson, Ruth",Not available,Not available,Not available
9,"                  Arabshahi, Payman",Not available,Not available,Not available
10,"                  Aragon, Cecilia",Computer Science,Computer Science,
11,"                  Arduino, Pedro",Georgia Institute of Technology,University of Puerto Rico,
12,"                  Arola, Dwayne",Mechanical Engineering,Mechanical Engineering,Mechanical Engineering
13,"                  Atlas, Les",Not available,Not available,Not available
14,"                  Atman, Cynthia",Engineering and Public Policy,Industrial and Systems Engineering,
15,"                  Aubin, Patrick",University Of Washington,University Of Washington,University Of Washington
16,"                  Averkiou, Mike",Not available,Not available,Not available
17,"                  Bagheri, Neda",University of California Santa Barbara,,University of California Santa Barbara
18,"                  Bailey, Michael",The University of Texas at Austin,The University of Texas at Austin,Yale University
19,"                  Bailey, Soraya",Not available,Not available,Not available
20,"                  Baker, David",Not available,Not available,Not available
21,"                  Balazinska, Magdalena",Not available,Not available,Not available
22,"                  Ban, Xuegang (Jeff)",University of Wisconsin,"University of Wisconsin,  Tsinghua University",Tsinghua University
23,"                Banerjee, Ashis",University of Maryland,University of Maryland,
24,"                  Baneyx, François",University of Texas (Austin),,
25,"                  Barnard, Arthur",Applied Physics,Applied Physics,
26,"                  Battle, Leilani",Not available,Not available,Not available
27,"                  Beame, Paul",Not available,Not available,Not available
28,"                  Beck, David",University of Washington,,Drexel University
29,"                Bender, Emily",University of Washington,,Drexel University
30,"                  Berg, John",University of California (Berkeley),,Carnegie Institute of Technology
31,"                  Bergsman, David",Stanford University,Stanford University,University of Washington
32,"                  Berman, Jeffrey",State University of New York at Buffalo,State University of New York at Buffalo,State University of New York at Buffalo
33,"                  Berndt, Andre",Not available,Not available,Not available
34,"                  Bernstein, Gilbert",Not available,Not available,Not available
35,"                  Bilmes, Jeffrey",Not available,Not available,Not available
36,"                Bohringer, Karl",Not available,Not available,Not available
37,"                  Borning, Alan",Not available,Not available,Not available
38,"                Boyle, Linda",University of Washington,University of Washington,State University of New York at Buffalo
39,"                  Boyle, Patrick M.",Not available,Not available,Not available
40,"                  Breidenthal, Robert",Aeronautics,California Institute of Technology,
41,"                  Brett, Michael",Uppsala Unniversity (Sweden),,
42,"                  Brunton, Steve",Princeton University,,Minor in Control and Dynamical Systems
43,"                  Brush, Lucien",Carnegie Mellon University.,Carnegie Mellon University.,
44,"                  Bryers, James",Not available,Not available,Not available
45,"                  Buchanan, Patty",University of Central Florida,University of Florida,University of Florida
46,"                  Burden, Samuel",Not available,Not available,Not available
47,"                  Bushnell, Linda",Not available,Not available,Not available
48,"                  Butman, David",Yale University,Yale School of Forestry and Environmental Studies,Connecticut College
49,"                  Cakmak, Maya",Not available,Not available,Not available
50,"                  Calvi, Paolo",University of Toronto,University of Pavia,University of Pavia
51,"                Campbell, Charles",University of Toronto,University of Pavia,University of Pavia
52,"                Cao, Guozhong",Eindhoven University of Technology,Chinese Academy of Sciences,East China University of Science and Technology
53,"                  Cao, Ting",University of California at Berkeley,,Peking University
54,"                  Carothers, James",Harvard University,,Yale University
55,"                  Ceze, Luis",Not available,Not available,Not available
56,"                  Chen, Cynthia",University of California,New Jersey Institute of Technology,Nan Kai University
57,"                  Chen, Xu",,University of California,Tsinghua University
58,"                  Chen, Tai-Chang",Not available,Not available,Not available
59,"                  Chiu, Daniel",Not available,Not available,Not available
60,"                  Choe, Youngjun",University of Michigan,,Korea Advanced Institute of Science and Technology
61,"                  Choi, Yejin",Not available,Not available,Not available
62,"                  Chudler, Eric",Not available,Not available,Not available
63,"                  Chung, Jae-Hyun",Northwestern University,Sungkyunkwan University,Sungkyunkwan University
64,"                  Cobb, Corie",University of California,Stanford University,Stanford University
65,"                  Coladangelo, Andrea",Not available,Not available,Not available
66,"                  Coppola, Sarah",,Human Factors Engineering,
67,"                  Craft, Brock",Not available,Not available,Not available
68,"                  Curless, Brian",Not available,Not available,Not available
69,"                  Dabiri, Dana",Aerospace Engineering,Mechanical Engineering,Mechanical Engineering
70,"                  Daggett, Valerie",Not available,Not available,Not available
71,"                  Dahl, Peter",Massachusetts Institute of Technology and Woods Hole Oceanographic Institution,University of Washington,University of Washington
72,"                Daniel, Thomas",Not available,Not available,Not available
73,"                  Darling, R. Bruce",Not available,Not available,Not available
74,"                  Dasgupta, Sayamindu",Massachusetts Institute of Technology,,
75,"                  Davidson, Andrew",Not available,Not available,Not available
76,"                  Davis, Jennifer",Not available,Not available,Not available
77,"                  DeForest, Cole",University of Colorado,,Princeton University
78,"                  Devasia, Santosh",University of California,University of California,
79,"                  Dew, Kristin",Human Centered Design and Engineering,Human Centered Design and Engineering,
80,"                  DiBenedetto, Michelle",Stanford University,Stanford University,Cornell University
81,"                  Dodd, Michael",Swiss Federal Institute of Technology-Zurich (ETH-Zurich); Zurich,Georgia Institute of Technology; Atlanta,Georgia Institute of Technology; Atlanta
82,"                Dossick, Carrie",Swiss Federal Institute of Technology-Zurich (ETH-Zurich); Zurich,Georgia Institute of Technology; Atlanta,Georgia Institute of Technology; Atlanta
83,"                  Du, Simon",Not available,Not available,Not available
84,"                Duchamp, Tom",Not available,Not available,Not available
85,"                  Dunham, Scott",Not available,Not available,Not available
86,"                  Eberhard, Marc",University of Illinois-Urbana,University of Illinois-Urbana,University of California
87,"                  Eggers, Susan",Not available,Not available,Not available
88,"                  Eley, Serena",,,Issue
89,"                  Emery, Ashley",University of California Berkeley,University of California Berkeley,University of California Berkeley
90,"                  Ernst, Michael",Not available,Not available,Not available
91,"                  Russell Esposito, Elizabeth",University of Massachusetts,University of Massachusetts,University of Delaware
92,"                  Farhadi, Ali",Not available,Not available,Not available
93,"                  Fazel, Maryam",Not available,Not available,Not available
94,"                Felsenstein, Joseph",Not available,Not available,Not available
95,"                  Ferrante, Antonino",Mechanical and Aerospace Engineering,Aeronautics and Aerospace,Aeronautical Engineering
96,"                  Findlater, Leah",Computer Science,Computer Science,
97,"                Flaxman, Abraham (Abie)",Computer Science,Computer Science,
98,"                  Fogarty, James",Not available,Not available,Not available
99,"                  Folch, Albert",Not available,Not available,Not available
100,"                  Fox, Dieter",Not available,Not available,Not available
101,"                Fox, Emily",Not available,Not available,Not available
102,"                  Fox, Tyler",Interactive Arts and Technology,,
103,"                Fridley, James",Interactive Arts and Technology,,
104,"                Friedman, Batya",Not available,Not available,Not available
105,"                  Froehlich, Jon",Not available,Not available,Not available
106,"                  Fu, Kai-Mei",Not available,Not available,Not available
107,"                  Fuhrmeister, Erica",UC Berkeley,UC Berkeley,Johns Hopkins University
108,"                  Fuller, Sawyer",California Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology
109,"                  Gadre, Akshay",Not available,Not available,Not available
110,"                  Gamble, Lara",Not available,Not available,Not available
111,"                  Ganter, Mark",University of Wisconsin,,University of Wisconsin
112,"                  Gao, Xiaohu",Not available,Not available,Not available
113,"                  Gao, Dayong",the Concordia University,,
114,"                  Garbini, Joseph",University of Washington,,
115,"                Gawel, James",University of Washington,,
116,"                  Oveis Gharan, Shayan",Not available,Not available,Not available
117,"                  Ghate, Archis",University of Michigan,Stanford University,
118,"                  Ghoshal, Sucheta",Human-Centered Computing,,
119,"                  Giachelli, Cecilia",Not available,Not available,Not available
120,"                Gloyd, Stephen",Not available,Not available,Not available
121,"                  Gollakota, Shyam",Not available,Not available,Not available
122,"                  Golub, Matt",Not available,Not available,Not available
123,"                  Gomez, Mike",University of California,University of California,University of California
124,"                  Goodchild, Anne",UC Berkeley,UC Berkeley,UC Davis
125,"                  Gordon, Bethany",University of Virginia,,University of Virginia
126,"                Green, Philip",University of Virginia,,University of Virginia
127,"                  Grossman, Daniel",Not available,Not available,Not available
128,"                Gustafson, Richard",Not available,Not available,Not available
129,"                  Habtour, Ed",University of Maryland,"University of Maryland,  Johns Hopkins University,  Purdue University",Utah State University
130,"                  Hajishirzi, Hannaneh",Not available,Not available,Not available
131,"                  Hannaford, Blake",Not available,Not available,Not available
132,"                  Haselkorn, Mark",English Language,,
133,"                  Hauck, Scott",Not available,Not available,Not available
134,"                  Heer, Jeffrey",Not available,Not available,Not available
135,"                  Hendry, David",,University of Guelph,
136,"                  Hermanson, Jim",Aeronautics,Aeronautics,
137,"                  Hillhouse, Hugh",University of Massachusetts,"University of Massachusetts,  University of Washington",Clemson University
138,"                  Hinds, Bruce",Inorganic Chemistry,Chemistry,Chemistry
139,"                  Holmberg, Vincent",The University of Texas at Austin,The University of Texas at Austin,University of Minnesota
140,"                  Horner-Devine, Alexander",Stanford University,Stanford University,Princeton University
141,"                  Hossain, Faisal",University of Connecticut,,
142,"                  Hsieh, Gary",Human-Computer Interaction,,
143,"                Hsu, Shih-Chieh",Human-Computer Interaction,,
144,"                  Huang, Shuai",Arizona State University,,University of Science and Technology of China
145,"                  Huang, Luna Yue",University of Washington,,Tsinghua University
146,"                  Hurlen, Erik",University of California San Diego,University of California San Diego,
147,"                  Hwang, Jenq-Neng",Not available,Not available,Not available
148,"                  Iaquinto, Joseph",Virginia Commonwealth University,Virginia Commonwealth University,Virginia Commonwealth University
149,"                  Idrobo, Juan",University of California Davis,University of Illinois at Chicago,Universidad de Los Andes (Colombia)
150,"                  Imoukhuede, Princess",Not available,Not available,Not available
151,"                  Ingraham, Kim",Not available,Not available,Not available
152,"                  Istanbulluoglu, Erkan",Utah State University,Uludag University,Uludag University
153,"                  Iyer, Vikram",Not available,Not available,Not available
154,"                  Jenekhe, Samson",Chemical Engineering,Chemical Engineering,
155,"                  Jessup, Andrew",MIT and WHOI Joint Program,Massachusetts Institute of Technology,University of Michigan
156,"                  Jiang, Shaoyi",,,Hua Qiao University
157,"                  Johnson, Brian",Not available,Not available,Not available
158,"                  Jones, Julia",,Issue,Issue
159,"                  Kaminsky, Jessica",University of Colorado,,Rice University
160,"                  Kang, Soyoung",University of Washington,University of Magdeburg,University of Southern California
161,"                  Kannan, Sreeram",Not available,Not available,Not available
162,"                  Karlin, Anna",Not available,Not available,Not available
163,"                  Kemelmacher-Shlizerman, Ira",Not available,Not available,Not available
164,"                  Kientz, Julie",Not available,Not available,Not available
165,"                  Kim, Ji-Eun",The Pennsylvania State University,Korea University,Minor in Psychology
166,"                  Kirschen, Daniel",Not available,Not available,Not available
167,"                  Klavins, Eric",Not available,Not available,Not available
168,"                  Klute, Glenn",Not available,Not available,Not available
169,"                  Knowlen, Carl",AA Engineering,University of Washington,
170,"                Ko, Amy",AA Engineering,University of Washington,
171,"                  Kohlbrenner, David",Not available,Not available,Not available
172,"                  Kohno, Tadayoshi",Not available,Not available,Not available
173,"                  Kolko, Beth",Not available,Not available,Not available
174,"                  Kolodziej, Edward",U. of California,U. of California,Johns Hopkins University
175,"                  Korshin, Gregory",Kirov State Technological University,Kazan State University,Kazan State University
176,"                  Kramlich, John",Washington State University,Washington State University,Washington State University
177,"                  Krishnamurthy, Arvind",Not available,Not available,Not available
178,"                  Krishnan, Kannan",Materials Science & Engineering (Physics &  Mathematics - Minors) UC,Materials Science,
179,"                  Kueh, Hao Yuan",Not available,Not available,Not available
180,"                  Kuga, Yasuo",Not available,Not available,Not available
181,"                  Kumar, Vipin",Massachusetts Institute of Technology,University of Rhode Island,University of Rhode Island
182,"                  Kurosaka, Mitsuru",Issue,Issue,
183,"                  Kurt, Mehmet",Mechanical Science and Engineering,,Mechanical Engineering
184,"                  Kutz, Jose Nathan",1994,,1990
185,"                  Lazowska, Ed",Not available,Not available,Not available
186,"                  Ledoux, William",Not available,Not available,Not available
187,"                  Lee, James",Not available,Not available,Not available
188,"                  Lee, Charlotte",Information Studies,,
189,"                  Lee, Su-In",Not available,Not available,Not available
190,"                  Lee, Adrian KC",,,
191,"                  Lee, Yin Tat",Not available,Not available,Not available
192,"                  Lehman, Dawn",UC Berkeley,UC Berkeley,Tufts University
193,"                  Lendvay, Thomas",Not available,Not available,Not available
194,"                  Leung, Karen",Stanford University,Stanford University,University of Sydney
195,"                  Levy, Hank",Not available,Not available,Not available
196,"                  Li, Mo",Not available,Not available,Not available
197,"                  Lin, Lih",Not available,Not available,Not available
198,"                  Little, Justin",Mechanical & Aerospace Engineering,Mechanical & Aerospace Engineering,
199,"                  Liu, Jonathan",Stanford University,Stanford University,
200,"                  Liu, Shan",Stanford University,Massachusetts Institute of Technology,The University of Texas at Austin
201,"                Liu, Jun",,University of Washington,
202,"                  Livne, Eli",University of California,,
203,"                Lopez, Jose",University of California,,
204,"                  Lowes, Laura",Civil Engineering,Civil Engineering,
205,"                  Lukuyu, June",,Issue,Issue
206,"                  Lundquist, Jessica",University of California,University of California,University of California
207,"                  Luscombe, Christine",Department of Chemistry,,M.Sci.
208,"                  Lutz, Barry",Not available,Not available,Not available
209,"                  Maas, Ryan",Not available,Not available,Not available
210,"                  MacKenzie, Don",Massachusetts Institute of Technology,,University of British Columbia
